borough,pickup_zone,total_trips,avg_trip_distance_miles
Manhattan,East Harlem North,104938,2.600000000
Manhattan,East Harlem South,92238,2.890000000
Manhattan,Central Harlem,57166,2.600000000
Manhattan,Central Harlem North,37991,3.290000000
Manhattan,Morningside Heights,33578,2.880000000
Queens,Forest Hills,31622,3.650000000
Manhattan,Washington Heights South,30581,5.330000000
Brooklyn,Fort Greene,22102,3.560000000
Queens,Astoria,21259,3.430000000
Brooklyn,Downtown Brooklyn/MetroTech,20347,3.610000000
Queens,Elmhurst,19909,3.400000000
Manhattan,Central Park,17447,2.640000000
Manhattan,Hamilton Heights,14466,3.930000000
Queens,Jamaica,14046,5.580000000
Brooklyn,Crown Heights North,13364,4.680000000
Brooklyn,Brooklyn Heights,12746,4.430000000
Queens,Jackson Heights,12444,3.780000000
Brooklyn,Boerum Hill,10822,4.230000000
Brooklyn,Park Slope,9482,4.390000000
Brooklyn,Prospect-Lefferts Gardens,8425,4.960000000
Brooklyn,East New York,8015,7.780000000
Queens,Woodside,7598,3.640000000
Manhattan,Manhattanville,7509,3.560000000
Queens,Rego Park,7347,4.150000000
Queens,Kew Gardens,7253,4.730000000
Bronx,Van Nest/Morris Park,7095,4.820000000
Bronx,Soundview/Castle Hill,6989,8.140000000
Brooklyn,Bedford,6566,4.850000000
Queens,Richmond Hill,6274,10.210000000
Brooklyn,Flatbush/Ditmas Park,6151,6.000000000
Brooklyn,Stuyvesant Heights,6124,5.660000000
Bronx,Co-Op City,6058,7.790000000
Brooklyn,Clinton Hill,6029,5.020000000
Brooklyn,Brownsville,5998,7.060000000
Bronx,East Concourse/Concourse Village,5969,5.280000000
Brooklyn,Canarsie,5937,8.100000000
Bronx,Melrose South,5617,4.970000000
Brooklyn,Coney Island,5544,11.170000000
Manhattan,Washington Heights North,5528,5.750000000
Bronx,West Concourse,5419,5.050000000
Brooklyn,Cobble Hill,5348,3.350000000
Bronx,Mott Haven/Port Morris,5339,5.600000000
Queens,Sunnyside,5281,5.640000000
Queens,Corona,5234,5.790000000
Manhattan,Bloomingdale,5002,2.670000000
Brooklyn,East Flatbush/Remsen Village,4826,5.780000000
Bronx,University Heights/Morris Heights,4719,7.260000000
Bronx,Williamsbridge/Olinville,4539,7.860000000
Brooklyn,Bay Ridge,4353,9.160000000
Manhattan,Upper East Side North,4287,3.510000000
Brooklyn,Flatlands,4232,6.740000000
Brooklyn,East Flatbush/Farragut,4189,5.700000000
Queens,Flushing,4117,5.920000000
Queens,Steinway,4066,4.630000000
Bronx,Norwood,4030,6.860000000
Queens,Old Astoria,3797,4.860000000
Bronx,Mount Hope,3756,6.520000000
Bronx,Highbridge,3753,7.950000000
Brooklyn,DUMBO/Vinegar Hill,3729,5.550000000
Bronx,Kingsbridge Heights,3635,9.730000000
Brooklyn,Crown Heights South,3600,4.620000000
Bronx,Claremont/Bathgate,3529,6.020000000
Queens,Elmhurst/Maspeth,3467,3.870000000
Queens,Saint Albans,3462,8.560000000
Manhattan,Inwood,3417,6.720000000
Bronx,Morrisania/Melrose,3416,5.440000000
Queens,South Jamaica,3381,7.880000000
Bronx,Parkchester,3324,6.310000000
Bronx,Pelham Parkway,3248,5.600000000
Brooklyn,Sunset Park West,3194,8.140000000
Brooklyn,Ocean Hill,3111,6.440000000
Queens,Baisley Park,3111,7.750000000
Brooklyn,Bushwick South,3035,6.450000000
Brooklyn,Sheepshead Bay,3023,7.910000000
Bronx,Bedford Park,3017,6.750000000
Brooklyn,Borough Park,2953,5.330000000
Brooklyn,Williamsburg (North Side),2917,4.720000000
Bronx,East Tremont,2853,5.900000000
Bronx,Spuyten Duyvil/Kingsbridge,2844,6.830000000
Queens,South Ozone Park,2725,7.720000000
Queens,Flushing Meadows-Corona Park,2651,9.740000000
Brooklyn,Midwood,2650,5.720000000
Bronx,Soundview/Bruckner,2642,5.230000000
Queens,Queensbridge/Ravenswood,2597,4.910000000
Queens,Hammels/Arverne,2527,14.680000000
Bronx,Van Cortlandt Village,2496,6.810000000
Brooklyn,Prospect Heights,2494,4.750000000
Brooklyn,Marine Park/Mill Basin,2414,8.030000000
Brooklyn,East Williamsburg,2408,5.890000000
Brooklyn,Starrett City,2372,9.250000000
Brooklyn,Erasmus,2356,5.800000000
Queens,Springfield Gardens North,2304,8.790000000
Queens,Long Island City/Queens Plaza,2272,4.830000000
Brooklyn,East New York/Pennsylvania Avenue,2267,9.320000000
Brooklyn,Bensonhurst West,2250,6.630000000
Bronx,Bronxdale,2249,7.140000000
Queens,Hillcrest/Pomonok,2189,5.990000000
Brooklyn,Williamsburg (South Side),2175,5.610000000
Manhattan,Lenox Hill East,2125,10.140000000
Bronx,Westchester Village/Unionport,2119,5.890000000
Queens,Long Island City/Hunters Point,2108,6.000000000
Queens,Queens Village,2095,9.470000000
Bronx,Eastchester,2092,8.500000000
Bronx,Schuylerville/Edgewater Park,1985,6.120000000
Queens,Jamaica Estates,1960,6.790000000
Brooklyn,Gowanus,1958,4.610000000
Queens,Far Rockaway,1933,14.240000000
Brooklyn,Homecrest,1912,6.000000000
Queens,North Corona,1903,5.020000000
Queens,Briarwood/Jamaica Hills,1868,6.670000000
Brooklyn,Brighton Beach,1853,8.890000000
Manhattan,Yorkville West,1819,4.770000000
Bronx,Belmont,1803,5.380000000
Brooklyn,Gravesend,1737,10.590000000
Brooklyn,Greenpoint,1735,4.890000000
Bronx,Allerton/Pelham Gardens,1735,6.860000000
Bronx,Longwood,1725,5.660000000
Bronx,Woodlawn/Wakefield,1720,9.750000000
Bronx,West Farms/Bronx River,1708,5.960000000
Brooklyn,Carroll Gardens,1707,4.150000000
